date,route,container_type,weight_tons,price_min_usd,price_max_usd,transit_min_days,transit_max_days
2024-11-07,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-11-11,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-11-18,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-11-25,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-11-29,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-02,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-07,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-09,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-09,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-09,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-09,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-16,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-23,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2024-12-30,Shanghai → Casablanca,Conteneur 40'HC,17,5089.5,5349.0,40,54
2025-01-06,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-01-13,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-01-20,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-01-27,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-02-03,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-02-10,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-02-17,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-02-24,Shanghai → Casablanca,Conteneur 40'HC,17,7443.0,7718.4,40,48
2025-03-03,Shanghai → Casablanca,Conteneur 40'HC,17,5082.0,6060.4,40,48
2025-03-10,Shanghai → Casablanca,Conteneur 40'HC,17,5082.0,6060.4,40,48
2025-03-17,Shanghai → Casablanca,Conteneur 40'HC,17,5082.0,6060.4,40,48
2025-03-24,Shanghai → Casablanca,Conteneur 40'HC,17,5082.0,6060.4,40,48
2025-03-31,Shanghai → Casablanca,Conteneur 40'HC,17,5082.0,6060.4,40,48
2025-04-07,Shanghai → Casablanca,Conteneur 40'HC,17,3532.0,4446.4,40,48
2025-04-14,Shanghai → Casablanca,Conteneur 40'HC,17,3532.0,4446.4,40,48
2025-04-21,Shanghai → Casablanca,Conteneur 40'HC,17,3532.0,4446.4,40,48
2025-04-28,Shanghai → Casablanca,Conteneur 40'HC,17,3532.0,4446.4,40,48
2025-05-05,Shanghai → Casablanca,Conteneur 40'HC,17,3532.0,4446.4,40,48
