source,category,item_name,high,low,avg,change_pct,change_val,date
infolink,Polysilicon,Polysilicon Price - Mono-grade polysilicon (USD),26.0,16.0,18.5,--,--,2026-03-11
infolink,Polysilicon,Polysilicon Price - Mono-grade polysilicon (RMB),53.0,44.0,48.0,-7.7,-4.000,2026-03-11
infolink,Polysilicon,Polysilicon Price - Granular polysilicon (RMB),45.0,42.0,45.0,-10.0,-5.000,2026-03-11
infolink,N Type Wafer,Mono N Type Wafer - 182-183.75mm / 130µm (USD),0.146,0.140,0.144,-1.4,-0.002,2026-03-11
infolink,N Type Wafer,Mono N Type Wafer - 182-183.75mm / 130µm (RMB),1.100,1.050,1.080,-1.8,-0.020,2026-03-11
infolink,N Type Wafer,Mono N Type Wafer - 182*210mm / 130µm (RMB),1.200,1.130,1.180,-1.7,-0.020,2026-03-11
infolink,N Type Wafer,Mono N Type Wafer - 210mm / 130µm (RMB),1.400,1.350,1.400,--,--,2026-03-11
infolink,P Type Cell,Mono PERC Cell - 182-183.75mm / 23.1%+ (USD),0.085,0.047,0.050,--,--,2026-03-11
infolink,N Type Cell,TOPCon Cell - 182-183.75mm / 25.3%+ (USD),0.115,0.055,0.057,-1.7,-0.001,2026-03-11
infolink,N Type Cell,TOPCon Cell - 182-183.75mm / 25.3%+ (RMB),0.430,0.420,0.420,-4.5,-0.020,2026-03-11
infolink,N Type Cell,TOPCon Cell - 182*210mm / 25.3%+ (RMB),0.440,0.420,0.430,-2.3,-0.010,2026-03-11
infolink,N Type Cell,TOPCon Cell - 210mm / 25.3%+ (RMB),0.430,0.420,0.420,-4.5,-0.020,2026-03-11
infolink,Glass to Glass Bifacial N Type Module,182*182-210mm  Mono TOPCon Module (USD),0.450,0.090,0.096,--,--,2026-03-11
infolink,Glass to Glass Bifacial N Type Module,182*182-210mm  Mono TOPCon Module (RMB),0.850,0.690,0.763,+3.2,+0.024,2026-03-11
infolink,Glass to Glass Bifacial N Type Module,210mm  Mono HJT Module (USD),0.100,0.095,0.098,--,--,2026-03-11
infolink,Glass to Glass Bifacial N Type Module,210mm  Mono HJT Module (RMB),0.830,0.730,0.770,--,--,2026-03-11
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm/210mm TOPCon Module - Ground-mounted project,0.750,0.680,0.700,+1.4,+0.010,2026-03-11
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm/210mm TOPCon Module - Distributed project,0.850,0.760,0.790,+3.9,+0.030,2026-03-11
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm BC Module - Ground-mounted project,0.880,0.760,0.810,+1.3,+0.010,2026-03-11
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm BC Module - C&I project,0.950,0.820,0.860,+2.4,+0.020,2026-03-11
infolink,Region Module,"TOPCon Module - India assembled (USD, FOB)",0.170,0.150,0.160,--,--,2026-03-11
infolink,Region Module,"TOPCon Module - US assembled (USD, DDP)",0.330,0.290,0.300,--,--,2026-03-11
infolink,Region Module,"TOPCon Module - US projects - SEA made (USD, FOB)",0.290,0.250,0.270,--,--,2026-03-11
infolink,Region Module,"TOPCon Module - Europe projects - China made (USD, FOB)",0.124,0.090,0.095,--,--,2026-03-11
infolink,Region Module,"BC Module - Europe C&I projects - China made (USD, FOB)",0.172,0.124,0.137,+5.7,+0.007,2026-03-11
infolink,Region Module,"BC All Black Module - Europe Residential projects - China made (USD, FOB)",0.232,0.130,0.176,--,--,2026-03-11
